episode,reward,length,loss,epsilon
727,26,27,0.173813,0.01
728,52,53,24.129,0.01
729,27,28,0.295787,0.01
730,22,23,0.209694,0.01
731,22,23,6.40691,0.01
732,21,22,2.36665,0.01
733,19,20,20.5287,0.01
734,27,28,5.56691,0.01
735,29,30,6.90621,0.01
736,32,33,12.6747,0.01
737,20,21,1.00414,0.01
738,18,19,0.246408,0.01
739,19,20,0.208219,0.01
740,26,27,7.66888,0.01
741,26,27,13.5408,0.01
742,29,30,16.3527,0.01
743,15,16,0.635093,0.01
744,26,27,6.63639,0.01
745,22,23,7.91723,0.01
746,20,21,14.9977,0.01
747,26,27,0.53996,0.01
748,28,29,12.4256,0.01
749,17,18,8.70009,0.01
750,27,28,0.408978,0.01
751,75,76,15.2908,0.01
752,17,18,0.676665,0.01
753,19,20,0.311423,0.01
754,10,11,15.0633,0.01
755,35,36,8.84463,0.01
756,20,21,14.3917,0.01
757,88,89,22.1555,0.01
758,48,49,10.0715,0.01
759,135,136,7.56108,0.01
760,50,51,8.2405,0.01
761,43,44,21.9623,0.01
762,8,9,21.1914,0.01
763,43,44,16.2281,0.01
764,10,11,39.6681,0.01
765,12,13,22.442,0.01
766,10,11,20.3754,0.01
767,19,20,10.5702,0.01
768,20,21,0.567651,0.01
769,55,56,12.6685,0.01
770,43,44,3.2226,0.01
771,9,10,40.9567,0.01
772,29,30,18.2477,0.01
773,13,14,6.94096,0.01
774,28,29,16.7665,0.01
775,13,14,2.26608,0.01
776,10,11,49.6359,0.01
777,18,19,9.78271,0.01
778,37,38,23.18,0.01
779,9,10,15.0107,0.01
780,35,36,17.4561,0.01
781,11,12,16.0294,0.01
782,24,25,10.2772,0.01
783,50,51,17.2575,0.01
784,13,14,15.7361,0.01
785,8,9,7.56533,0.01
786,9,10,7.29392,0.01
787,10,11,20.5394,0.01
788,11,12,18.1079,0.01
789,10,11,16.3927,0.01
790,10,11,37.8826,0.01
791,12,13,3.49612,0.01
792,8,9,1.04774,0.01
793,15,16,1.80017,0.01
794,15,16,18.5847,0.01
795,26,27,19.1997,0.01
796,9,10,12.6392,0.01
797,73,74,16.9805,0.01
798,36,37,21.2411,0.01
799,22,23,20.9811,0.01
800,41,42,9.61796,0.01
801,31,32,10.7538,0.01
802,16,17,34.1238,0.01
803,37,38,22.6291,0.01
804,21,22,26.17,0.01
805,10,11,39.9657,0.01
806,53,54,8.08209,0.01
807,52,53,8.10381,0.01
808,64,65,14.1243,0.01
809,32,33,11.3075,0.01
810,13,14,25.206,0.01
811,31,32,11.9986,0.01
812,39,40,10.8895,0.01
813,94,95,17.4792,0.01
814,29,30,23.7576,0.01
815,11,12,4.00987,0.01
816,36,37,10.435,0.01
817,46,47,18.3567,0.01
818,43,44,18.2533,0.01
819,71,72,13.6246,0.01
820,31,32,11.9962,0.01
821,80,81,13.1781,0.01
822,42,43,11.5162,0.01
823,199,200,11.7727,0.01
824,115,116,17.8753,0.01
825,165,166,12.2372,0.01
826,166,167,7.75021,0.01
827,186,187,11.1514,0.01
828,266,267,11.1125,0.01
829,204,205,10.908,0.01
830,178,179,8.63105,0.01
831,287,288,8.36636,0.01
832,260,261,7.57903,0.01
833,286,287,8.25379,0.01
834,378,379,8.20416,0.01
835,187,188,6.32464,0.01
836,378,379,8.21863,0.01
837,296,297,5.84452,0.01
838,258,259,8.93105,0.01
839,331,332,8.30184,0.01
840,242,243,6.62101,0.01
841,169,170,8.08002,0.01
842,160,161,10.8736,0.01
843,344,345,8.55514,0.01
844,187,188,7.13001,0.01
845,270,271,8.89447,0.01
846,228,229,6.69748,0.01
847,210,211,7.87706,0.01
848,177,178,9.03024,0.01
849,241,242,6.29748,0.01
850,170,171,5.11777,0.01
851,196,197,8.21852,0.01
852,240,241,9.90476,0.01
853,229,230,7.37976,0.01
854,217,218,6.32824,0.01
855,195,196,9.19228,0.01
856,173,174,9.65777,0.01
857,253,254,9.33195,0.01
858,293,294,9.79727,0.01
859,282,283,6.9054,0.01
860,259,260,8.9511,0.01
861,229,230,7.01793,0.01
862,206,207,10.8399,0.01
863,178,179,5.33727,0.01
864,275,276,6.90282,0.01
865,230,231,7.95047,0.01
866,295,296,8.64133,0.01
867,377,378,8.87608,0.01
868,417,418,7.42407,0.01
869,206,207,8.6285,0.01
870,500,500,10.2742,0.01
871,234,235,9.49023,0.01
872,500,500,9.00179,0.01
873,500,500,8.13999,0.01
874,305,306,8.50841,0.01
875,264,265,9.92785,0.01
876,287,288,15.472,0.01
877,471,472,10.5465,0.01
878,394,395,8.66284,0.01
879,189,190,10.5313,0.01
880,178,179,10.4277,0.01
881,195,196,7.69711,0.01
882,157,158,8.13209,0.01
883,175,176,7.95096,0.01
884,175,176,11.8234,0.01
885,196,197,10.7667,0.01
886,155,156,7.25094,0.01
887,160,161,4.96018,0.01
888,170,171,13.6855,0.01
889,171,172,3.56055,0.01
