episode,reward,length,loss,epsilon
581,199,200,0.0227702,0.01
582,162,163,0.0249317,0.01
583,182,183,0.0250928,0.01
584,168,169,0.0126533,0.01
585,173,174,0.0314168,0.01
586,170,171,0.0223281,0.01
587,156,157,0.0474148,0.01
588,165,166,0.037272,0.01
589,190,191,0.0268433,0.01
590,170,171,0.0308865,0.01
591,165,166,0.0404133,0.01
592,153,154,0.0362748,0.01
593,169,170,0.0257089,0.01
594,162,163,0.0245667,0.01
595,169,170,0.0263428,0.01
596,161,162,0.0290328,0.01
597,170,171,0.0363016,0.01
598,178,179,0.0206221,0.01
599,152,153,0.0264696,0.01
600,168,169,0.0346798,0.01
601,221,222,0.0260506,0.01
602,168,169,0.0358541,0.01
603,164,165,0.0393808,0.01
604,168,169,0.061903,0.01
605,160,161,0.0449176,0.01
606,163,164,0.0569689,0.01
607,191,192,0.0360521,0.01
608,157,158,0.019425,0.01
609,246,247,0.0341957,0.01
610,168,169,0.0486853,0.01
611,176,177,0.0234437,0.01
612,178,179,0.0461896,0.01
613,182,183,0.0344425,0.01
614,162,163,0.0324792,0.01
615,177,178,0.0297476,0.01
616,171,172,0.0403035,0.01
617,177,178,0.0322913,0.01
618,172,173,0.0317057,0.01
619,177,178,0.0386817,0.01
620,187,188,0.0319166,0.01
621,183,184,0.0338498,0.01
622,188,189,0.0256034,0.01
623,193,194,0.0408596,0.01
624,187,188,0.037988,0.01
625,198,199,0.0159171,0.01
626,187,188,0.0227021,0.01
627,173,174,0.0164712,0.01
628,172,173,0.0244388,0.01
629,189,190,0.0205725,0.01
630,205,206,0.0226626,0.01
631,209,210,0.0207951,0.01
632,260,261,0.0221181,0.01
633,171,172,0.0331259,0.01
634,195,196,0.022778,0.01
635,207,208,0.0255098,0.01
636,204,205,0.0261261,0.01
637,192,193,0.0253385,0.01
638,196,197,0.0247833,0.01
639,231,232,0.0270621,0.01
640,194,195,0.0159435,0.01
641,210,211,0.0175486,0.01
642,194,195,0.029383,0.01
643,220,221,0.0171557,0.01
644,201,202,0.010235,0.01
645,257,258,0.0365417,0.01
646,275,276,0.0170296,0.01
647,221,222,0.0182941,0.01
648,280,281,0.0322785,0.01
649,257,258,0.0226994,0.01
650,236,237,0.0153582,0.01
651,241,242,0.0208403,0.01
652,239,240,0.0419067,0.01
653,298,299,0.016634,0.01
654,281,282,0.04461,0.01
655,303,304,0.0368837,0.01
656,304,305,0.0353801,0.01
657,257,258,0.0361889,0.01
658,251,252,0.0635659,0.01
659,307,308,0.0375038,0.01
660,283,284,0.0311768,0.01
661,264,265,0.0242533,0.01
662,327,328,0.0305682,0.01
663,306,307,0.034556,0.01
664,353,354,0.0320467,0.01
665,198,199,0.0501213,0.01
666,330,331,0.0342377,0.01
667,262,263,0.0211865,0.01
668,311,312,0.0447393,0.01
669,272,273,0.0172194,0.01
670,351,352,0.0821314,0.01
671,250,251,0.029217,0.01
672,266,267,0.0309186,0.01
673,309,310,0.0390248,0.01
674,500,500,0.0561686,0.01
675,285,286,0.471351,0.01
676,270,271,0.530627,0.01
677,238,239,0.173383,0.01
678,174,175,0.805707,0.01
679,272,273,1.83867,0.01
680,194,195,0.397911,0.01
681,270,271,0.531171,0.01
682,244,245,0.582682,0.01
683,192,193,0.0764138,0.01
684,300,301,0.268129,0.01
685,202,203,0.104552,0.01
686,62,63,0.271963,0.01
687,77,78,2.15143,0.01
688,185,186,1.87904,0.01
689,157,158,1.40945,0.01
690,25,26,0.0430053,0.01
691,27,28,0.0391594,0.01
692,16,17,0.0367444,0.01
693,11,12,0.0353522,0.01
694,28,29,0.0272498,0.01
695,33,34,0.102448,0.01
696,38,39,8.94791,0.01
697,68,69,7.69425,0.01
698,29,30,4.54117,0.01
699,13,14,1.54714,0.01
700,15,16,0.112095,0.01
701,14,15,0.12627,0.01
702,13,14,25.3333,0.01
703,13,14,0.871536,0.01
704,13,14,0.151252,0.01
705,9,10,18.2026,0.01
706,12,13,0.300473,0.01
707,13,14,1.47701,0.01
708,13,14,11.7217,0.01
709,12,13,0.249034,0.01
710,29,30,12.4858,0.01
711,47,48,2.61027,0.01
712,32,33,0.0796864,0.01
713,9,10,15.3932,0.01
714,42,43,10.8469,0.01
715,14,15,0.512091,0.01
716,11,12,0.132726,0.01
717,20,21,8.60764,0.01
718,13,14,10.8383,0.01
719,31,32,3.72979,0.01
720,27,28,12.1618,0.01
721,11,12,0.20701,0.01
722,16,17,17.2653,0.01
723,13,14,12.1785,0.01
724,13,14,18.9403,0.01
725,10,11,0.362803,0.01
726,9,10,0.252745,0.01
727,12,13,18.9258,0.01
728,10,11,12.8888,0.01
729,18,19,29.2399,0.01
730,13,14,12.5533,0.01
731,32,33,8.66596,0.01
732,13,14,11.2001,0.01
733,9,10,13.3639,0.01
734,16,17,39.6695,0.01
735,18,19,21.9539,0.01
736,8,9,1.41569,0.01
737,32,33,13.3149,0.01
738,12,13,0.278863,0.01
739,24,25,0.228579,0.01
740,14,15,9.85013,0.01
741,8,9,2.31283,0.01
742,23,24,6.73048,0.01
743,11,12,24.6402,0.01
744,44,45,8.07398,0.01
745,13,14,9.90312,0.01
746,31,32,0.726395,0.01
747,20,21,19.9218,0.01
748,13,14,23.6723,0.01
749,18,19,15.5669,0.01
750,16,17,15.4716,0.01
751,46,47,19.7868,0.01
752,9,10,34.4639,0.01
753,10,11,10.469,0.01
754,17,18,8.74593,0.01
755,14,15,9.62001,0.01
756,12,13,29.8304,0.01
757,35,36,17.3612,0.01
758,23,24,19.8698,0.01
759,16,17,28.658,0.01
760,16,17,18.1409,0.01
761,28,29,20.3487,0.01
762,20,21,11.2764,0.01
763,14,15,8.2767,0.01
764,39,40,18.3876,0.01
765,14,15,20.5355,0.01
766,9,10,8.85648,0.01
767,24,25,10.4477,0.01
768,43,44,10.1373,0.01
769,50,51,11.0362,0.01
770,10,11,28.158,0.01
771,11,12,15.9977,0.01
772,44,45,10.8963,0.01
773,33,34,18.509,0.01
774,61,62,17.272,0.01
775,15,16,27.8644,0.01
776,35,36,25.8628,0.01
777,14,15,15.127,0.01
778,28,29,10.9999,0.01
779,48,49,26.9963,0.01
780,12,13,11.122,0.01
781,70,71,17.0882,0.01
782,15,16,21.9133,0.01
783,42,43,26.4777,0.01
784,15,16,13.7886,0.01
785,20,21,16.8506,0.01
786,14,15,20.3317,0.01
787,15,16,20.2573,0.01
788,57,58,15.5661,0.01
789,41,42,12.32,0.01
790,14,15,10.5769,0.01
791,52,53,16.9419,0.01
792,52,53,17.2833,0.01
793,12,13,23.7475,0.01
794,60,61,10.606,0.01
795,57,58,13.852,0.01
796,48,49,12.7716,0.01
797,59,60,16.0341,0.01
798,13,14,8.04989,0.01
799,61,62,13.4123,0.01
800,86,87,9.47715,0.01
801,65,66,10.026,0.01
802,179,180,12.734,0.01
803,234,235,13.0361,0.01
804,120,121,9.63008,0.01
805,84,85,13.6329,0.01
806,181,182,12.3117,0.01
807,154,155,11.4543,0.01
808,140,141,9.40636,0.01
809,187,188,10.2117,0.01
810,213,214,6.10189,0.01
811,283,284,8.04139,0.01
812,238,239,8.93873,0.01
813,209,210,8.97396,0.01
814,262,263,7.73413,0.01
815,279,280,6.41543,0.01
816,214,215,7.87161,0.01
817,277,278,6.05628,0.01
818,265,266,6.60765,0.01
819,219,220,7.94767,0.01
820,222,223,5.34267,0.01
821,217,218,4.47393,0.01
822,227,228,6.43254,0.01
823,232,233,8.54998,0.01
824,252,253,7.08581,0.01
825,250,251,6.95053,0.01
826,230,231,7.23806,0.01
827,213,214,6.38421,0.01
828,288,289,5.64,0.01
829,248,249,5.937,0.01
830,228,229,6.32234,0.01
831,248,249,5.56007,0.01
832,206,207,5.86916,0.01
833,222,223,5.66115,0.01
834,240,241,5.58038,0.01
835,260,261,7.52924,0.01
836,273,274,9.66398,0.01
837,225,226,8.95091,0.01
838,255,256,5.06289,0.01
839,198,199,5.85161,0.01
840,219,220,5.84753,0.01
841,234,235,6.48887,0.01
842,238,239,8.78257,0.01
843,419,420,6.35277,0.01
844,276,277,3.64576,0.01
845,290,291,5.9261,0.01
846,500,500,10.0385,0.01
847,500,500,8.0598,0.01
848,500,500,8.6068,0.01
849,248,249,8.35138,0.01
850,500,500,9.55149,0.01
851,500,500,7.76478,0.01
852,357,358,9.47618,0.01
853,257,258,6.98219,0.01
854,500,500,11.6577,0.01
855,500,500,7.96499,0.01
856,26,27,7.56432,0.01
857,500,500,6.11364,0.01
858,500,500,10.9649,0.01
859,500,500,8.57323,0.01
860,500,500,12.5894,0.01
861,500,500,9.39857,0.01
862,500,500,11.717,0.01
863,500,500,8.82174,0.01
864,500,500,8.52164,0.01
865,500,500,6.0314,0.01
866,128,129,6.73276,0.01
867,500,500,3.94669,0.01
868,500,500,4.02184,0.01
869,500,500,2.27206,0.01
870,500,500,4.62996,0.01
871,500,500,6.38784,0.01
872,500,500,4.66137,0.01
873,184,185,4.65434,0.01
874,500,500,5.32549,0.01
875,500,500,4.4626,0.01
876,212,213,4.04264,0.01
877,500,500,5.18218,0.01
878,217,218,7.50069,0.01
879,500,500,6.28748,0.01
880,500,500,7.04965,0.01
881,500,500,6.20246,0.01
882,500,500,6.28724,0.01
883,500,500,6.13325,0.01
884,500,500,6.59835,0.01
885,264,265,6.52553,0.01
886,268,269,6.31959,0.01
887,157,158,8.18073,0.01
888,109,110,10.3721,0.01
889,500,500,8.95506,0.01
890,465,466,5.69815,0.01
891,261,262,8.34502,0.01
892,39,40,8.22672,0.01
893,136,137,10.9934,0.01
